v_19rr28fmgo	爱情来得太快！英潜水员救援期间与泰国女翻译相恋
v_19rr1e3e4s	泰国溶洞救援行动 被困13人已全部获救出洞
f0752zjh39w	泰国少年足球队被困洞穴 中国救援队穿过洞穴送救援物资
v_19rr1i080w	洞穴内含氧量低于正常值 救援行动分秒必争
id_XNDEyNzc2ODU5Ng==	视频|泰国洞穴救援细节披露 麻醉药物氯胺酮扮演关键角色
id_XMzcxMzU5NzM1Mg==	泰国洞穴救援继续  四名少年率先出洞 体坛资讯 180709
v_19rr1tqwg8	泰国少年足球队被困洞穴  救援仍在继续
c07093kg59k	330秒回顾泰国少年足球队洞穴受困的10天 13人均安然无恙被找到
p07180msvxg	泰国洞穴救援：6名队员确认成功营救，带人出洞工作9日继续
v_19rr2fc68o	泰国洞穴获救少足队首次公开露面
v_19rr5h0h40	阿根廷:被困洞穴阴霾散去泰国少年足球队复出
x0712pxksnj	噩耗！泰国清莱洞穴救援志愿者 因供氧问题遇难
c0715gp1zd2	泰国洞穴救援：6名队员确认成功营救 带人出洞工作9日继续
b0714kinlii	救援仍在继续！泰国被困洞穴13人有望不久被救出洞
s07208o5wwu	泰国洞穴救援圆满结束，长沙“蓝天侠”穿获救球队队服回国
id_XMzcxNjc5ODQ5Ng==	2分钟回顾泰国被困洞穴少年足球队救援全程 17天生死大营救
l0746gko5k4	泰国少年被困洞穴，水深不明救援困难，两公里就需3个小时！
v_19rr1mhsrc	泰国少年足球队救援:部分洞内营救画面公开
av26368173	泰国洞穴救援行动 - 3D效果展示救援方案 @柚子木字幕组
v_19rrofhd6k	瑞典： 探秘狭长水下洞穴
id_XMzcwMzExNDk1Mg==	中国参与泰国洞穴救援 外交部: 中泰一家亲
id_XNDA1Nzk1NzIxNg==	泰国洞穴救援揭秘1-5
id_XMzczMDIyMzE3Mg==	马斯克带来的超级潜水艇为何没能发挥救援作用？
d0722hhhaev	泰国洞穴救援将被拍成电影！由华裔导演执导
l07257vqney	长沙“蓝天侠”完成泰国洞穴救援任务回国 队员、市民机场迎接
h07634k5pxx	最后决战泰国第三次洞穴救援行动开始目标全部救出
id_XNDEwMDQ1NjUwOA==	泰国洞穴救援揭秘2-4
v_19rr1n2b30	泰国被困洞穴少年足球队13人已全部获救
id_XMzcwNzkyNjE5Ng==	泰国足球队13人被困洞穴, 营救队考虑山顶打洞纵向救援
v_19rqw8l60k	密室逃脱 救援冒险男孩被困洞穴的游戏
l0718dkshht	泰国洞穴救援
av35877256	危地逆行者十年救援百余起，揭秘营救泰国足球队始末
v_19rr1ud2sk	双管齐下保安全泰国:溶洞救援行动持续进行中
n07682fwppb	曾参与泰国“洞穴救援”的专家，现场展示安全锤，好神奇的锤子
v07335nr5tq	3D重现泰国洞穴救援全过程
v0863mi0iqn	男子在河边发现个洞穴，伸手就往里面掏，抓到的东西把他乐坏了！
v_19rqsagg34	泰国少年足球队遇险 遇险洞穴成热门景点
c0714hdoogf	救援仍在继续！泰国被困洞穴13人有望不久被救出洞
n0761ltzjn7	洞穴潜水救援
v1427jsniat	泰国官方解释：救援洞穴内足球少年的关键点是什么？
v_19rreacw24	两百公斤“湄公河巨鲶”搁浅 泰国村民齐力救援将其放生
v_19rsn0wqwk	男子去洞穴里探险，爬到底部后，发现一个神秘通道
v_19rr2cjcms	泰国溶洞拟变博物馆 救援行动将登大银幕
v_19rr1j6b5w	洞穴救援将拍两部电影华裔导演朱浩伟或参与
id_XMzcxNjE5OTExNg==	追新闻：泰国溶洞救援——泰国少年足球队被困洞穴续 13人全部获救
q0719rrd009	泰国少年足球队被困洞穴救援视频片段
a07101wlp3s	泰国13名失踪少年足球队，在伸手不见五指洞穴被发现全过程
d0735ouzb1u	泰国洞穴人竟约会到多位外国美女 网上晒照片令人羡慕不已
v_19rr1hus5o	泰国溶洞救援行动  救援细节曝光
g14287bsndl	泰国洞穴事件被困少年 上电视揭秘奇迹生还经历
v_19rrogowsg	瑞典：探秘狭长水下洞穴
v_19rr1t9d0o	一名海军救援队员死亡 泰国山洞营救仍在进行
v_19rr1wh11c	泰少年足球队被困已12天！3D全景演示洞穴救援有多难？
j0716sbguv3	泰国洞穴救援现场曝光！水浑闭塞潜水员冒险作业
v_19rqygmngs	好莱坞拍泰国营救，13名足球队员已签约，华裔导演朱浩伟参与
v_19rr6rwqog	洞穴里的小恐龙
n1431f4qf2y	英洞潜专家在美洞潜失踪后被救起，曾参与泰国足球队洞穴救援
z0346ezywbh	一个被遗弃的人造洞穴，里面会有什么可怕东西？
v_19rsmzov7s	探险家不慎打开神秘洞穴，放出封存百万年的怪物，人类惨遭灭绝
l07809yt262	泰国足球队洞穴内受困9天奇迹生还 孩子们大声感谢救援队
v_19rr2gtmos	泰国艺术家作画13米纪念救援少年足球队行动
v_19rr1vvc7g	泰国一支少年足球队被困洞穴 潜水救援仍有难度
m0712wjo8r0	泰国少年足球队13人被困洞穴 救援持续中
id_XMzkwNTI5NzIwOA==	加油向未来第3季, 救援专家到场! 曾参与泰国“洞穴救援”救援活动, 现场展示安全锤
v_19rr1q5otw	泰国一13人少年足球队洞穴内失踪 中国救援队参与搜救
c0713h4jyau	救援仍在继续 泰国被困洞穴13人有望不久被救出洞 via中新视频
v_19rr1gjvtc	泰国普吉游船倾覆事故 泰国当地人讲述救援故事
v_19rr1icwv4	泰国13人被困洞穴,长沙“蓝天侠”跨国营救(五)
j074789u2dq	噩耗！泰国清莱洞穴救援志愿者因供氧问题遇难
e0717ldf3ta	泰国洞穴救援牺牲队员按军事葬礼待遇安葬，妻子、父亲：很骄傲
v_19rqsb48rc	泰国 少年足球队遇险洞穴成热门景点
id_XMzg2NTI3NTY4OA==	38岁泰国洞穴救援队员葬礼将举行妻子受访
v_19rqwngj50	2分钟回顾泰国被困洞穴少年足球队救援全程17天生死大营救
id_XNDA1Nzk1NzIwNA==	泰国洞穴救援揭秘2-5
y0866hkn4bt	老外野外发现神秘洞穴 进去一看肠子都悔青了
r00268f2u4d	洞内氧气告急 泰国洞穴救援加速
id_XMzcwOTEzNjU3Mg==	泰国洞穴救援遇难潜水员生前视频曝光，洞内氧气减少，3孩子虚弱
v_19rqx1d02o	载有23名中国游客快艇在泰国海上倾覆！救援现场气氛紧张
v_19rr1xnbv8	泰国称救援队正寻求最稳妥方案解救足球队成员
v_19rr1fyhls	八方支援 多国人员赴泰展开洞穴救援
id_XMzcxOTUwNzE4MA==	泰国洞穴少年获救, 救援现场曝光, 看看救援队怎么说
v_19rsfvm9c8	男子卖掉别墅住进山洞，过着原始般的生活，却吸引无数外国妹子
v_19rr1f2uq0	泰国救援少年足球队行动：已有8人获救
g0714q9jpri	救援仍在继续！泰国被困洞穴13人有望不久被救出洞
s07157v5hhn	洞内氧气告急！泰国洞穴救援加速！
v_19rr2872tk	泰国艺术家画13米长画纪念救援少年足球队行动
t03660ic8hz	世界上最深不可测的洞穴 女妖洞
g07176jc3t5	泰国一群孩子困在洞穴，救援中难度让人难以想象！
id_XMzcxMDMzODk0MA==	氧气告急  泰国洞穴救援被迫提速 新闻夜线 180707
v_19rr1ixgq8	回顾泰国洞穴救援:惊心动魄十八天
v_19rr1e1t0w	为什么营救泰国洞穴中的被困少年如此困难？
v_19rr1e09rw	泰国溶洞救援行动12名小球员和1名教练全部获救
v_19rr1ivvok	泰国溶洞 “奇迹救援”
s0718cvvdq9	泰国小女孩到洞穴救援现场探望受困同学，希望他能平安
w0719yz3ejy	特斯拉CEO马斯克带着救援迷你潜艇抵达泰国洞穴
id_XMzcwNTk5ODcwNA==	泰国足球队13人被困洞穴10余天, 长沙蓝天救援专家跨国营救
id_XMzczMDE5NTM2OA==	世界顶级洞穴潜水员参与史上难度最大洞穴救援
av26270964	为被困足球队送氧气，他自己却缺氧死亡…
v_19rr1o3qu0	洞穴探险失联10天 泰国少年足球队13人奇迹生还
x081484ctsp	泰国足球队洞穴内受困9天奇迹生还 孩子们大声感谢救援队
v_19rsn2t5qg	男子发现草地上有个洞穴，伸手一掏，竟然扯出一个大家伙
v_19rr30hu5o	考古学家寻找洞穴恐龙化石 恐龙救援队霸王龙保护小恐龙
b14274ntzr6	马斯克已到达泰国洞穴救援现场 留下了迷你潜艇
id_XMzczMzcyNjkxNg==	致敬！最后时刻依然用心协助营救的中方队员
id_XMzczMzczMDczNg==	中外救援队合力救援足球少年成功上岸的珍贵时刻
v_19rrbksb4k	4人探险被困洞穴警民合力救援
c07234aqaud	中国参与泰国洞穴救援外交部：中泰一家亲
v082300ymth	一群美女半夜误入神秘洞穴，不料第二天全部变成美人鱼！
id_XMzcxMzgyNDE4MA==	泰国洞穴救援继续 四名少年率先出洞
v_19rqsavqwo	泰国少年足球队遇险洞穴 成热门景点
w0709pwlqjg	中国专家参与泰国洞穴救援 洞内情况曝光
v_19rr6phxzk	【崩坏3rd】外传轩辕篇 洞穴 潜入深海
z0851g7davy	15岁少年洞穴玩水失踪已三天，救援队连夜赶至恩施，搜救仍在继续
v_19rr1x5hgg	少年足球队被困10天后奇迹生还，但想出洞或还要三个月
v_19rqz7ubks	安吉丽娜·朱莉发现西伯利亚秘密洞穴
m07192k9v53	被困洞穴泰国少年足球队救援后医院视频
v_19rr1f35ec	泰国当地人 讲述救援故事
v_19rshrbxx8	心碎！15岁少年洞穴内失踪5天 搜救无果后家长同意停止救援
v_19rr1hewsk	泰国少年足球队受困洞穴 第一批3人已成功救出
u0778r02w67	中国救援队在泰国洞穴救援中被表现 赢得全部掌声
s0710yjmzz3	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
id_XMzcxMzI4MjQ2MA==	洞内氧气跌至15%的危险水平! 还将持续降雨, 泰国洞穴救援必须加速!
u00269j17fx	泰国 洞穴救援艰难推进 一潜水员因缺氧窒息而亡
v_19rr1t3mno	3D释疑泰国沉船事故救援难度 100秒掌握沉船自救攻略
k0843enjg32	泰国洞穴救援，人本来全都唤不醒了，专业医师一句话活过来了！
u077951gssi	泰国举行洞穴救援人员答谢宴，被困教练披露洞中如何鼓励孩子
y0868lc1589	泰国一_神秘洞穴_，里面全是深蓝色鱼，却无人敢捕捞！
id_XMzczMzcyNzE5Mg==	最大难度的洞穴救援 往返11小时的生命之路
v_19rr1ne7os	泰国溶洞救援行动:被困18天13人全部获救出洞
id_XMzcwNTM2ODE3Mg==	泰国：被困少年足球队营救行动仍在继续——洞穴内水位较高  救援队不停抽水 东方大头条 180705
s1427i7g4vc	“钢铁侠”为泰国洞穴救援2天造出“救援神器”，已经在路上
v_19rr1wramw	泰国少年足球队被困溶洞11天 救援难度大
b07229cedim	泰国少年足球队被困洞穴 中国救援队穿过洞穴送救援物资
e0720r2d041	特斯拉CEO马斯克带着救援迷你潜艇抵达泰国洞穴
v_19rr1qwsis	泰国一支少年足球队被困溶洞 营救行动已七天13人仍生死不明
av26532900	巴育前往清莱洞穴救助指挥中心视察足球少年救援
id_XNDA1Nzk1OTEyOA==	泰国洞穴救援揭秘1-2
v_19rr1wrn40	泰国:溶洞救援行动持续进行中
av41549697	泰国洞穴救援行动惊人内幕披露：“潜水游出来”竟是假的
v_19rr2dwubs	前往死亡洞穴，落地就是刚
v_19rr2e964k	 泰国洞穴获救少足队首次公开露面
v_19rqs5iu28	泰国少年足球队遇险洞穴   成热门景点
v_19rr1ln1j8	泰国溶洞8名少年获救，仍有人员被困，马斯克制微型潜艇送往泰国
t00267f8w2f	泰国：少年足球队洞穴救援视频首次曝光
v_19rr1t1wg4	泰国：被困少年足球队救援最新情况
id_XNDEwMDQ1NDQ1Mg==	泰国洞穴救援揭秘1-2
v_19rr1edtes	18天生死营救：2分钟回顾泰国少年足球队救援全程
z0862vm1ed1	英洞潜专家在美洞潜失踪后被救起，曾参与泰国足球队洞穴救援
id_XMzcyMTEyMTI0NA==	泰国洞穴救援圆满结束, 长沙“蓝天侠”穿获救球队队服回国
v_19rr1isoqg	华裔导演将拍“泰国洞穴救援”故事
r07189arzka	泰国洞穴救援：当地人的等待和希望！
g07208m24u1	华裔导演将拍泰国“洞穴救援“【突发美国】
s1427jv2t9d	泰国300多艺术家作巨幅画作纪念洞穴救援，感谢世界帮助！
av26194934	泰国被困少年足球队最新近况 孩子们得到治疗、身体健康
v_19rr1wfw4s	泰国溶洞救援方案一:潜水救援
x07149cnlvh	救援仍在继续！泰国被困洞穴13人有望不久被救出洞
v_19rr2fuycg	泰国12名被困洞穴的男孩获救后首次集体亮相
v_19rqya9tn0	洞穴地势险峻救援人员自身安全受到威胁——《社会纵横》
m0716jh90r2	“钢铁侠”为泰国洞穴救援2天造出“救援神器”，已经在路上
y07169n2cfr	泰国洞穴救援最危险潜水区域曝光
id_XNDEwMDQ0NjIzNg==	泰国洞穴救援揭秘1-1
o0519o6zr4n	冷知识：世界上最深的洞穴
v_19rqr3qtko	密室逃脱之救援泰山洞穴逃脱的游戏
h0539qx3am7	大山深处的悬崖洞穴，至今无人知道里面有什么？
id_XNDAyNzk1OTUyOA==	泰国洞穴救援行动内幕披露：“潜水游出来”竟是假的
a0776zsqi5g	曾参与泰国洞穴救援的专家，现场展示安全锤，好神奇的锤子
c07190cluhs	泰国：少年足球队洞穴救援视频首次曝光
v_19rr1tbyng	泰国普吉府翻船事故现场救援加紧进行
id_XNDEwMDQ0MjMwNA==	泰国洞穴救援揭秘1-5
k0764xr6b7i	最后决战泰国第三次洞穴救援行动开始目标全部救出
g0713syq79m	泰国13人被困洞穴，正铺设氧气管道，将迎来降水天气救援争分夺秒
v_19rr2exjag	感动！泰国洞穴救援男孩重温"奇迹时刻"
v_19rr1tbp60	水域救援专家今晚赶赴泰国
v_19rr5g874g	走出被困洞穴阴霾 泰国少年足球队"复出"
id_XMzczMzcyNjQyNA==	前海豹突击队员遇难后 中方救援队给出优化方案
e1427crxct0	泰国牺牲洞穴救援队员葬礼举行 妻子与父亲:他是英雄,我们很骄傲
m0714dsjt6j	救援仍在继续！泰国被困洞穴13人有望不久被救出洞
y0711nt77ft	3D解析：泰国少年足球队如何在幽暗狭小的洞穴中挺过10天
w0719akgob3	海豹部队公布泰国洞穴救援影片
id_XMzcxODc1OTgzMg==	泰国少年足球队被困洞穴救援视频片段
v07347oblka	泰国洞穴救援过程危险重重 最危险的竟不是技术问题？
t0720f74cu5	泰国洞穴救援画面大曝光 环境险峻难度高
v_19rrhxsjns	德国科学家受伤被困千米洞穴 逾200人参与救援
v_19rr1q7oto	怪了！泰国一13人青少年足球队洞穴内失踪 无任何音讯
id_XMzczMzgxODY2NA==	中方队员亲历救援转折时刻
v_19rr1v9pjc	 泰国:少年足球队被困溶洞救援继续
b08112xwlyx	奇妙救援队-怪兽车发现了一个神秘的洞穴
b0725ab035c	泰国洞穴救援讲解-Vizrt虚拟演播室
h0746wzujyd	泰国足球少年被困洞穴，中国救援专家跨国营救！
v_19rroi1k80	泰国或将停止救援海上罗兴亚人
v_19rr1jd4uk	泰国洞穴救援圆满结束
x0719lngp5l	100秒了解泰国洞穴救援到底有多难
id_XNDEyNzc1MzY0OA==	泰国洞穴救援细节披露  麻醉药物氯胺酮扮演关键角色
b0710qkj71m	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
x0027c7uc88	救援专家到场！曾参与泰国“洞穴救援”救援活动，现场展示安全锤
r0555r01ywa	世界上最深的洞穴，深度超过12000米，挖出了一些奇怪的东西
v_19rqvvzv24	军武大本营：泰国溶洞救援竟是民间组织！作为友好大国得有所表示
v_19rqu3hipw	刺激战场秘籍47：又发现一个神秘洞穴，里面的物质比空投还多？
v_19rr1v8ubk	新一轮降雨将至 泰国救援与天气赛跑
b0843z05wap	12岁少年洞穴“探宝”被困 消防索降救援
q0760cnp8k6	最后决战泰国第三次洞穴救援行动开始目标全部救出
u0720u5aq9n	特斯拉CEO马斯克带着救援迷你潜艇抵达泰国洞穴
v_19rr1vgapg	泰国溶洞救援持续各种方案困难重重
b0529qs85zv	全世界最大最深最美的水下洞穴 十大潜水宝地之一
id_XMzczMzQwMTAxNg==	中方救援队初潜被困洞穴 穿越40厘米狭窄空间
id_XMzcyMjcxOTk0OA==	长沙“蓝天侠”完成泰国洞穴救援任务回国 获赠“野猪”球队服饰
id_XNDA5MzEyMDI3Mg==	泰国足球少年洞穴救援将被拍剧，每人获64万元酬劳
l1427myds5o	中国救援队最晚撤离泰国洞穴，恰逢队员生日，齐唱生日歌庆祝
v_19rr1n2nug	泰国:被困洞穴少年足球队13人全部获救
v_19rr1lpic0	泰国足球队被困18天最终获救 此次救援为何这么难？
d0714k87csi	救援仍在继续！泰国被困洞穴13人有望不久被救出洞
v_19rr1gr2k4	2小时救起20名中国游客 泰国当地人讲述救援细节
v_19rr1fhsr0	泰国溶洞救援行动进行时已有8名队员获救
id_XNDA1Nzk1OTE0MA==	泰国洞穴救援揭秘2-2
v_19rr0z8hes	泰国13人洞穴探险失联已5天上千人搜救无进展
f07128t5b7h	救援仍在继续 泰国被困洞穴13人有望不久被救出洞
b0865bj9o5s	埃德 索伦森 Edd Sorenson成功的洞穴救援
l07132z9h2u	救援仍在继续 泰国被困洞穴13人有望不久被救出洞 via中新视频
v_19rr1ufcl0	泰国洞穴大营救仍在进行中
id_XNDA1Nzk1NzE2OA==	泰国洞穴救援揭秘1-4
h0838xhuohu	2分钟回顾泰国被困洞穴少年足球队救援全程17天生死大营救
av38043995	【谷歌发布2018年度搜索词：good】好事物值得我们不断搜寻
g0718c4vd24	泰国洞穴救援丨被困少年首次被发现现场对话
z0720vqvbmo	特斯拉CEO马斯克带着救援迷你潜艇抵达泰国洞穴
j0745wt6rk5	惊心动魄！泰国少年足球队被困洞穴，多国救援队联合施救！
v_19rsid4u90	贪婪洞穴2-杀巨魔
id_XMzczMzczMDI4OA==	中方队员结束洞内潜水上岸
id_XMzczMjcyMDc2NA==	生死营救 揭秘史上难度最大洞穴救援（下）
v0712t3fuzp	泰国13人被困洞穴，营救队考虑山顶打洞纵向救援
f0717ktirzt	前泰国海军海豹突击队，在洞穴救援中死亡后，授予最高荣誉
av40966746	谷歌2018年度搜索词出炉：Good！"只要活着，就有希望！"
av26623879	当你在野外陷入困境，这些办法或许能帮你逃出生天！
h00265ou97v	泰国13人受困洞穴救援难度高 史上不乏成功救援案例
m0828v0o2s7	荒野生活：小型双人地下洞穴！一动手，就是各种挖挖挖！
v_19rr1vvccc	泰国 溶洞救援行动 持续进行中
v_19rsgrz5o8	美国5名男子洞穴露营被困当地消防人员紧急救援
id_XMzczMDE5NDYzMg==	多种高科技救援技术为何在这里失效？
v_19rr1s984g	泰国少年足球队洞穴失踪仍未被寻获
h072154u92q	泰国足球队13人被困洞穴10余天，长沙蓝天救援专家跨国营救
v_19rro92y3s	手游全攻略《公主洞穴》
v_19rr1hrclk	泰国洞穴救援行动 - 3D效果展示救援方案
j00265tk8xr	泰国洞穴救援继续 四名少年率先出洞
v_19rrd978bk	盘州:男子不慎坠入洞穴消防成功救援
